playoff,year,tmID,lost,o_reb,home_win_pct,away_win_pct,conf_win_rate,scoring_efficiency,reb_efficiency,defensive_pts_efficiency,def_reb_efficiency,off_reb_efficiency,ast_to_ratio,steals_per_game,blocks_per_game,playoff_win_pct
Y,8,CON,16,1222,0.4705882352941176,0.5882352941176471,0.5,1.1495487752470992,0.5251396648044693,76.26470588235294,0.5088476478204574,0.5251396648044693,1.1462962962962964,8.0,4.588235294117647,0.3333333333333333
Y,9,CON,13,1239,0.7647058823529411,0.4705882352941176,0.65,1.1767279090113736,0.541994750656168,74.73529411764706,0.5253940455341506,0.541994750656168,1.2464065708418892,6.205882352941177,2.8529411764705883,0.5
N,10,CON,18,1184,0.7058823529411765,0.2352941176470588,0.4545454545454545,1.1133977320453592,0.497270054598908,78.05882352941177,0.5697674418604651,0.497270054598908,1.3421633554083885,7.352941176470588,3.823529411764706,0.0
N,1,DET,18,985,0.5,0.375,0.4761904761904761,1.1772727272727272,0.4974747474747474,75.8125,0.4936451448906965,0.4974747474747474,0.9490566037735848,8.125,2.75,0.5
N,2,DET,22,945,0.375,0.25,0.3333333333333333,1.098746081504702,0.493730407523511,70.90625,0.5340228633641807,0.493730407523511,0.9417670682730924,7.03125,2.5625,0.3333333333333333
N,3,DET,23,1079,0.4375,0.125,0.2857142857142857,1.1016154247003649,0.5622720166753518,70.8125,0.4954637096774194,0.5622720166753518,0.8835489833641405,6.28125,4.125,0.75
Y,4,DET,9,1230,0.7647058823529411,0.7058823529411765,0.75,1.2739520958083832,0.6137724550898204,70.44117647058823,0.4654418197725284,0.6137724550898204,0.8963815789473685,7.735294117647059,4.647058823529412,0.0
Y,5,DET,17,1170,0.4705882352941176,0.5294117647058824,0.55,1.12827849308536,0.5579399141630901,70.02941176470588,0.5028598665395615,0.5579399141630901,1.0994152046783623,8.147058823529411,4.352941176470588,0.5
Y,6,DET,18,1215,0.7058823529411765,0.2352941176470588,0.55,1.090776699029126,0.5898058252427184,67.26470588235294,0.5233933161953728,0.5898058252427184,0.830122591943958,7.088235294117647,4.5588235294117645,0.3333333333333333
Y,7,DET,11,1286,0.8235294117647058,0.5294117647058824,0.7,1.1382882882882883,0.5792792792792792,70.11764705882354,0.5006928406466513,0.5792792792792792,1.0651769087523275,6.264705882352941,4.029411764705882,0.5555555555555556
